Date,Mountain,x,y
41936,0,-2,-2
41937,0,-2,-2
41938,0,-2,-2
41939,0,-2,-2
41940,0,-2,-2
41941,0,-2,-2
41942,0,-2,-2
41943,0,-2,-2
41944,0,-2,-2
41945,0,-2,-2
41946,0,-2,-2
41947,0,-2,-2
41948,0,-2,-2
41949,0,-2,-2
41950,0,-2,-2
41951,0,-2,-2
41952,0,-2,-2
41953,0,-2,-2
41954,0,-2,-2
41955,0,-2,-2
41956,0,-2,-2
41957,0,-2,-2
41958,0,-2,-2
41959,0,-2,-2
41960,0,-2,-2
41961,0,-2,-2
41962,0,-2,-2
41963,0,-2,-2
41964,0,-2,-2
41965,0,-2,-2
41966,0,-2,-2
41967,0,-2,-2
41968,0,-2,-2
41969,0,-2,-2
41970,0,-2,-2
41971,0,-2,-2
41972,0,-2,-2
41973,0,-2,-2
41974,0,-2,-2
41975,0,-2,-2
41976,0,-2,-2
41977,0,-2,-2
41978,0,-2,-2
41979,0,-2,-2
41980,0,-2,-2
41981,0,-2,-2
41982,0,-2,-2
41983,0,-2,-2
41984,0,-2,-2
41985,0,-2,-2
41986,0,-2,-2
41987,0,-2,-2
41988,0,-2,-2
41989,0,-2,-2
41990,0,-2,-2
41991,0,-2,-2
41992,0,-2,-2
41993,0,-2,-2
41994,0,-2,-2
41995,Friday Mountain,12,16
41996,Balsam Cap,12,12
41997,0,-2,-2
41998,0,-2,-2
41999,0,-2,-2
42000,Eagle Mountain,12,9
42001,0,-2,-2
42002,0,-2,-2
42003,0,-2,-2
42004,0,-2,-2
42005,0,-2,-2
42006,0,-2,-2
42007,0,-2,-2
42008,0,-2,-2
42009,0,-2,-2
42010,0,-2,-2
42011,0,-2,-2
42012,0,-2,-2
42013,0,-2,-2
42014,0,-2,-2
42015,Twin Mountain,1,13
42016,Indian Head,1,6
42017,0,-2,-2
42018,0,-2,-2
42019,Plateau Mountain,1,24
42020,Sugarloaf Mountain,1,23
42021,Graham Mountain,1,29
42022,Balsam Lake Mountain,1,20
42023,0,-2,-2
42024,0,-2,-2
42025,0,-2,-2
42026,0,-2,-2
42027,0,-2,-2
42028,0,-2,-2
42029,North Dome,1,10
42030,Sherrill Mountain,1,5
42031,0,-2,-2
42032,0,-2,-2
42033,0,-2,-2
42034,0,-2,-2
42035,0,-2,-2
42036,0,-2,-2
42037,0,-2,-2
42038,0,-2,-2
42039,0,-2,-2
42040,0,-2,-2
42041,0,-2,-2
42042,0,-2,-2
42043,0,-2,-2
42044,0,-2,-2
42045,0,-2,-2
42046,0,-2,-2
42047,0,-2,-2
42048,0,-2,-2
42049,0,-2,-2
42050,0,-2,-2
42051,0,-2,-2
42052,0,-2,-2
42053,0,-2,-2
42054,0,-2,-2
42055,0,-2,-2
42056,0,-2,-2
42057,0,-2,-2
42058,0,-2,-2
42059,0,-2,-2
42060,0,-2,-2
42061,0,-2,-2
42062,0,-2,-2
42063,0,-2,-2
42064,0,-2,-2
42065,0,-2,-2
42066,0,-2,-2
42067,0,-2,-2
42068,0,-2,-2
42069,0,-2,-2
42070,0,-2,-2
42071,Doubletop Mountain,3,28
42072,0,-2,-2
42073,0,-2,-2
42074,0,-2,-2
42075,0,-2,-2
42076,0,-2,-2
42077,0,-2,-2
42078,0,-2,-2
42079,0,-2,-2
42080,0,-2,-2
42081,0,-2,-2
42082,0,-2,-2
42083,0,-2,-2
42084,0,-2,-2
42085,0,-2,-2
42086,0,-2,-2
42087,0,-2,-2
42088,0,-2,-2
42089,0,-2,-2
42090,0,-2,-2
42091,0,-2,-2
42092,0,-2,-2
42093,0,-2,-2
42094,0,-2,-2
42095,0,-2,-2
42096,0,-2,-2
42097,0,-2,-2
42098,0,-2,-2
42099,0,-2,-2
42100,0,-2,-2
42101,0,-2,-2
42102,0,-2,-2
42103,0,-2,-2
42104,0,-2,-2
42105,0,-2,-2
42106,Friday Mountain,4,16
42107,Balsam Cap,4,12
42108,0,-2,-2
42109,0,-2,-2
42110,0,-2,-2
42111,0,-2,-2
42112,0,-2,-2
42113,0,-2,-2
42114,0,-2,-2
42115,0,-2,-2
42116,0,-2,-2
42117,0,-2,-2
42118,0,-2,-2
